Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,City,Salesperson,Product,Category,Quantity,Unit_Price_INR,Discount_Pct,Revenue_INR,Payment_Method
ORD-000030,2025-05-25,CUST-0501,Consumer,Central,Nagpur,Aarav Sharma,USB-C Hub,Accessories,2,2898.82,0.1,5217.88,UPI
ORD-000031,2025-11-21,CUST-0166,SMB,East,Guwahati,Arjun Rao,Mechanical Keyboard,Accessories,1,4333.87,0.0,4333.87,UPI
ORD-000032,2025-02-27,CUST-0597,Enterprise,East,Bhubaneswar,Arjun Rao,Laptop Air 13,Electronics,3,53401.76,0.0,160205.28,Credit Card
ORD-000033,2025-01-22,CUST-0216,Consumer,East,Bhubaneswar,Priya Verma,Wireless Headphones,Accessories,7,6200.93,0.2,34725.21,Debit Card
ORD-000034,2025-10-14,CUST-0886,Enterprise,South,Chennai,Rohan Mehta,External HDD 2TB,Storage,9,6463.97,0.1,52358.16,Bank Transfer
ORD-000035,2025-01-13,CUST-0274,SMB,South,Chennai,Priya Verma,Smartphone X,Electronics,2,43269.39,0.2,69231.02,Bank Transfer
ORD-000036,2025-01-20,CUST-0229,Consumer,South,Bengaluru,Sneha Iyer,Portable SSD 1TB,Storage,1,8372.21,0.15,7116.38,Bank Transfer
ORD-000037,2025-06-18,CUST-0696,Enterprise,West,Ahmedabad,Aarav Sharma,Wireless Headphones,Accessories,9,6591.96,0.0,59327.64,UPI
ORD-000038,2025-05-14,CUST-0747,SMB,East,Patna,Arjun Rao,Smartphone X,Electronics,10,42405.6,0.0,424056.0,UPI
ORD-000039,2025-07-17,CUST-0704,SMB,Central,Indore,Neha Kapoor,External HDD 2TB,Storage,1,5891.05,0.1,5301.95,Bank Transfer
ORD-000040,2025-02-05,CUST-0520,Enterprise,East,Patna,Arjun Rao,Office Chair,Office,3,11068.32,0.1,29884.46,Debit Card
ORD-000041,2025-07-26,CUST-0631,Consumer,South,Hyderabad,Arjun Rao,Standing Desk,Office,1,22968.8,0.05,21820.36,UPI
ORD-000042,2025-06-05,CUST-0453,Consumer,West,Pune,Kavya Nair,Wireless Headphones,Accessories,4,6384.46,0.1,22984.06,Credit Card
ORD-000043,2025-12-04,CUST-0689,Consumer,South,Hyderabad,Sneha Iyer,Laptop Air 13,Electronics,3,53722.97,0.1,145052.02,Credit Card
ORD-000044,2025-03-17,CUST-0425,Consumer,West,Pune,Arjun Rao,Laptop Pro 14,Electronics,10,80094.22,0.1,720847.98,Bank Transfer
ORD-000045,2025-07-24,CUST-0798,Consumer,North,Lucknow,Sneha Iyer,Smartphone Lite,Electronics,3,24865.06,0.15,63405.9,Credit Card
ORD-000046,2025-12-23,CUST-0821,Consumer,South,Kochi,Neha Kapoor,27-inch Monitor,Electronics,3,17799.51,0.15,45388.75,Bank Transfer
ORD-000047,2025-11-10,CUST-0762,SMB,South,Kochi,Kavya Nair,Portable SSD 1TB,Storage,2,8540.69,0.15,14519.17,Debit Card
ORD-000048,2025-05-07,CUST-0451,SMB,East,Kolkata,Vikram Singh,Portable SSD 1TB,Storage,4,8607.74,0.05,32709.41,Credit Card
ORD-000049,2025-05-20,CUST-0724,Consumer,South,Chennai,Priya Verma,Smart Watch,Accessories,3,11677.51,0.0,35032.53,Bank Transfer
ORD-000050,2025-07-28,CUST-0713,Consumer,Central,Bhopal,Arjun Rao,Smart Watch,Accessories,2,11904.17,0.0,23808.34,Bank Transfer
ORD-000051,2025-01-04,CUST-0766,Consumer,Central,Indore,Kavya Nair,Smart Watch,Accessories,2,12402.87,0.15,21084.88,Credit Card
ORD-000052,2025-05-20,CUST-0861,Consumer,South,Kochi,Rohan Mehta,Mechanical Keyboard,Accessories,2,4634.16,0.1,8341.49,UPI
ORD-000053,2025-07-21,CUST-0187,SMB,West,Mumbai,Vikram Singh,USB-C Hub,Accessories,1,2698.0,0.1,2428.2,Bank Transfer
ORD-000054,2025-06-17,CUST-0259,Consumer,West,Mumbai,Kavya Nair,Smartphone Lite,Electronics,2,23467.82,0.15,39895.29,UPI
ORD-000055,2025-10-04,CUST-0773,Enterprise,North,Delhi,Sneha Iyer,Laptop Pro 14,Electronics,2,80193.62,0.1,144348.52,Credit Card
ORD-000056,2025-01-11,CUST-0477,Consumer,South,Hyderabad,Neha Kapoor,USB-C Hub,Accessories,1,2817.91,0.1,2536.12,Credit Card
ORD-000057,2025-11-07,CUST-0111,Enterprise,East,Kolkata,Vikram Singh,USB-C Hub,Accessories,4,2705.85,0.1,9741.06,Bank Transfer
ORD-000058,2025-07-23,CUST-0871,Consumer,East,Kolkata,Aarav Sharma,Standing Desk,Office,3,21434.27,0.15,54657.39,Debit Card
ORD-000059,2025-09-30,CUST-0843,SMB,West,Surat,Priya Verma,Mechanical Keyboard,Accessories,1,4280.69,0.1,3852.62,Bank Transfer
ORD-000060,2025-07-05,CUST-0667,Enterprise,Central,Nagpur,Kavya Nair,Office Chair,Office,2,11127.56,0.0,22255.12,Bank Transfer
ORD-000061,2025-08-12,CUST-0286,SMB,North,Lucknow,Sneha Iyer,Portable SSD 1TB,Storage,1,8781.12,0.15,7463.95,Bank Transfer
ORD-000062,2025-10-19,CUST-0218,SMB,West,Ahmedabad,Vikram Singh,USB-C Hub,Accessories,2,2751.0,0.05,5226.9,Debit Card
ORD-000063,2025-05-24,CUST-0088,SMB,South,Chennai,Arjun Rao,External HDD 2TB,Storage,6,6210.31,0.05,35398.77,Bank Transfer
ORD-000064,2025-10-12,CUST-0096,Consumer,North,Jaipur,Sneha Iyer,Webcam HD,Accessories,2,3879.79,0.1,6983.62,Bank Transfer
ORD-000065,2025-12-21,CUST-0764,Consumer,West,Ahmedabad,Neha Kapoor,Smartphone Lite,Electronics,3,24074.21,0.05,68611.5,Bank Transfer
ORD-000066,2025-05-19,CUST-0781,Consumer,Central,Indore,Sneha Iyer,Wireless Headphones,Accessories,1,6252.71,0.0,6252.71,Credit Card
ORD-000067,2025-09-05,CUST-0853,SMB,North,Chandigarh,Vikram Singh,Wireless Headphones,Accessories,9,6358.95,0.05,54369.02,Credit Card
ORD-000068,2025-07-04,CUST-0567,Consumer,North,Jaipur,Rohan Mehta,Smartphone X,Electronics,4,40091.17,0.0,160364.68,Bank Transfer
ORD-000069,2025-02-22,CUST-0259,Consumer,North,Lucknow,Priya Verma,Portable SSD 1TB,Storage,1,8364.6,0.05,7946.37,UPI
ORD-000070,2025-07-25,CUST-0312,Consumer,Central,Bhopal,Sneha Iyer,Wireless Mouse,Accessories,3,2122.82,0.0,6368.46,UPI
ORD-000071,2025-10-13,CUST-0462,Consumer,West,Surat,Vikram Singh,Webcam HD,Accessories,3,4007.52,0.1,10820.3,Bank Transfer
ORD-000072,2025-06-06,CUST-0641,SMB,South,Chennai,Vikram Singh,USB-C Hub,Accessories,3,2925.33,0.1,7898.39,UPI
ORD-000073,2025-03-22,CUST-0482,Consumer,Central,Nagpur,Aarav Sharma,Smartphone Lite,Electronics,1,23881.21,0.0,23881.21,Credit Card
ORD-000074,2025-05-28,CUST-0807,Consumer,East,Bhubaneswar,Arjun Rao,Standing Desk,Office,5,21413.53,0.0,107067.65,UPI
ORD-000075,2025-10-06,CUST-0812,SMB,South,Hyderabad,Vikram Singh,Smartphone Lite,Electronics,6,22971.38,0.15,117154.04,Bank Transfer
ORD-000076,2025-03-05,CUST-0449,SMB,West,Mumbai,Aarav Sharma,Wireless Mouse,Accessories,3,2200.1,0.2,5280.24,Bank Transfer
ORD-000077,2025-06-15,CUST-0602,Consumer,Central,Bhopal,Vikram Singh,USB-C Hub,Accessories,1,2894.07,0.2,2315.26,UPI
ORD-000078,2025-03-31,CUST-0651,Consumer,West,Surat,Priya Verma,Wireless Mouse,Accessories,2,2309.33,0.0,4618.66,Bank Transfer
ORD-000079,2025-06-28,CUST-0296,Consumer,West,Surat,Aarav Sharma,Mechanical Keyboard,Accessories,3,4423.41,0.15,11279.7,Bank Transfer
ORD-000080,2025-02-15,CUST-0674,Consumer,North,Lucknow,Arjun Rao,Smart Watch,Accessories,1,12437.89,0.1,11194.1,UPI
ORD-000081,2025-04-07,CUST-0274,Consumer,South,Chennai,Vikram Singh,27-inch Monitor,Electronics,4,18980.98,0.1,68331.53,Bank Transfer
ORD-000082,2025-12-24,CUST-0319,Consumer,South,Bengaluru,Arjun Rao,Wireless Mouse,Accessories,9,2142.65,0.1,17355.47,UPI
ORD-000083,2025-04-26,CUST-0734,Enterprise,West,Ahmedabad,Vikram Singh,Portable SSD 1TB,Storage,2,8782.32,0.0,17564.64,Bank Transfer
ORD-000084,2025-09-05,CUST-0765,Consumer,Central,Indore,Priya Verma,Wireless Mouse,Accessories,3,2292.81,0.05,6534.51,Debit Card
ORD-000085,2025-08-01,CUST-0858,Enterprise,East,Guwahati,Rohan Mehta,Smart Watch,Accessories,2,11739.41,0.15,19957.0,Bank Transfer
ORD-000086,2025-10-03,CUST-0891,Consumer,East,Bhubaneswar,Sneha Iyer,Wireless Mouse,Accessories,3,2190.18,0.05,6242.01,Bank Transfer
ORD-000087,2025-04-30,CUST-0396,SMB,West,Pune,Kavya Nair,Portable SSD 1TB,Storage,1,8674.44,0.1,7807.0,UPI
ORD-000088,2025-03-06,CUST-0539,Enterprise,North,Lucknow,Aarav Sharma,27-inch Monitor,Electronics,2,19138.32,0.0,38276.64,Credit Card
ORD-000089,2025-07-29,CUST-0639,SMB,East,Guwahati,Priya Verma,Portable SSD 1TB,Storage,1,8898.82,0.05,8453.88,Debit Card
ORD-000090,2025-12-12,CUST-0894,Consumer,West,Mumbai,Priya Verma,Portable SSD 1TB,Storage,8,8829.32,0.1,63571.1,Credit Card
ORD-000091,2025-11-20,CUST-0779,Enterprise,North,Delhi,Kavya Nair,Office Chair,Office,10,11424.07,0.1,102816.63,Credit Card
ORD-000092,2025-12-22,CUST-0442,Enterprise,East,Bhubaneswar,Sneha Iyer,Wireless Headphones,Accessories,1,6365.69,0.1,5729.12,Bank Transfer
ORD-000093,2025-10-17,CUST-0700,SMB,Central,Indore,Kavya Nair,Office Chair,Office,1,11926.47,0.0,11926.47,Credit Card
ORD-000094,2025-04-29,CUST-0295,SMB,West,Pune,Priya Verma,Wireless Mouse,Accessories,2,2287.76,0.1,4117.97,Bank Transfer
ORD-000095,2025-06-26,CUST-0204,Consumer,East,Guwahati,Kavya Nair,USB-C Hub,Accessories,9,2787.91,0.1,22582.07,UPI
ORD-000096,2025-05-02,CUST-0282,SMB,West,Mumbai,Aarav Sharma,Mechanical Keyboard,Accessories,3,4407.85,0.2,10578.84,Bank Transfer
ORD-000097,2025-05-27,CUST-0257,SMB,Central,Indore,Priya Verma,Webcam HD,Accessories,3,3953.28,0.05,11266.85,UPI
ORD-000098,2025-06-08,CUST-0335,Consumer,East,Guwahati,Rohan Mehta,Webcam HD,Accessories,3,3740.15,0.1,10098.41,Credit Card
ORD-000099,2025-03-09,CUST-0264,Consumer,South,Kochi,Vikram Singh,Webcam HD,Accessories,9,4061.26,0.05,34723.77,Debit Card
ORD-000100,2025-02-28,CUST-0867,Enterprise,West,Ahmedabad,Priya Verma,Wireless Mouse,Accessories,1,2279.23,0.2,1823.38,Bank Transfer
ORD-000101,2025-01-08,CUST-0391,Consumer,Central,Nagpur,Priya Verma,Wireless Headphones,Accessories,2,6612.02,0.1,11901.64,Credit Card
ORD-000102,2025-08-30,CUST-0651,SMB,North,Lucknow,Vikram Singh,Laptop Pro 14,Electronics,8,78858.64,0.0,630869.12,Bank Transfer
ORD-000103,2025-03-01,CUST-0551,Consumer,South,Chennai,Arjun Rao,Smartphone X,Electronics,1,40387.71,0.2,32310.17,Bank Transfer
ORD-000104,2025-07-09,CUST-0425,Enterprise,South,Bengaluru,Kavya Nair,Office Chair,Office,3,11600.44,0.05,33061.25,Bank Transfer
ORD-000105,2025-05-24,CUST-0102,SMB,East,Patna,Neha Kapoor,Laptop Pro 14,Electronics,1,75941.68,0.05,72144.6,UPI
ORD-000106,2025-07-23,CUST-0658,Consumer,South,Bengaluru,Aarav Sharma,Wireless Headphones,Accessories,1,6470.57,0.15,5499.98,Debit Card
ORD-000107,2025-05-05,CUST-0222,SMB,Central,Indore,Neha Kapoor,Smartphone X,Electronics,1,42227.67,0.15,35893.52,Credit Card
ORD-000108,2025-11-02,CUST-0113,Consumer,South,Bengaluru,Rohan Mehta,Laptop Pro 14,Electronics,10,78313.68,0.2,626509.44,UPI
ORD-000109,2025-07-03,CUST-0760,SMB,South,Kochi,Priya Verma,Webcam HD,Accessories,3,3808.49,0.0,11425.47,UPI
ORD-000110,2025-09-01,CUST-0045,SMB,Central,Nagpur,Kavya Nair,Wireless Mouse,Accessories,2,2200.84,0.0,4401.68,UPI
ORD-000111,2025-02-01,CUST-0076,SMB,West,Mumbai,Neha Kapoor,Wireless Mouse,Accessories,2,2246.73,0.0,4493.46,Credit Card
ORD-000112,2025-02-03,CUST-0544,Consumer,Central,Nagpur,Kavya Nair,Smartphone X,Electronics,3,41265.78,0.05,117607.47,Bank Transfer
ORD-000113,2025-02-20,CUST-0441,SMB,South,Kochi,Sneha Iyer,Webcam HD,Accessories,5,4004.9,0.1,18022.05,Bank Transfer
ORD-000114,2025-06-23,CUST-0384,Consumer,East,Bhubaneswar,Kavya Nair,Portable SSD 1TB,Storage,2,8437.75,0.0,16875.5,UPI
ORD-000115,2025-02-16,CUST-0570,Consumer,South,Bengaluru,Neha Kapoor,Portable SSD 1TB,Storage,2,8391.75,0.1,15105.15,UPI
ORD-000116,2025-07-30,CUST-0295,Enterprise,North,Jaipur,Neha Kapoor,Smart Watch,Accessories,8,12499.01,0.05,94992.48,UPI
ORD-000117,2025-10-23,CUST-0377,Consumer,Central,Bhopal,Vikram Singh,27-inch Monitor,Electronics,3,17775.2,0.0,53325.6,Credit Card
ORD-000118,2025-08-08,CUST-0027,SMB,Central,Nagpur,Aarav Sharma,Portable SSD 1TB,Storage,4,8648.73,0.1,31135.43,Credit Card
ORD-000119,2025-05-20,CUST-0580,SMB,South,Kochi,Priya Verma,Standing Desk,Office,7,21299.09,0.05,141638.95,Credit Card
ORD-000120,2025-11-21,CUST-0379,Consumer,South,Hyderabad,Neha Kapoor,Laptop Pro 14,Electronics,2,77638.44,0.05,147513.04,UPI
ORD-000121,2025-01-27,CUST-0498,Consumer,West,Surat,Arjun Rao,Smartphone X,Electronics,3,41042.83,0.1,110815.64,Debit Card
ORD-000122,2025-04-21,CUST-0499,Consumer,Central,Nagpur,Aarav Sharma,Webcam HD,Accessories,2,3969.5,0.0,7939.0,Credit Card
ORD-000123,2025-07-22,CUST-0297,Consumer,East,Patna,Priya Verma,USB-C Hub,Accessories,1,2874.86,0.2,2299.89,UPI
ORD-000124,2025-09-12,CUST-0854,Consumer,Central,Nagpur,Priya Verma,Standing Desk,Office,1,21406.24,0.05,20335.93,Bank Transfer
ORD-000125,2025-01-22,CUST-0415,Consumer,Central,Raipur,Vikram Singh,Mechanical Keyboard,Accessories,7,4534.09,0.15,26977.84,UPI
ORD-000126,2025-07-27,CUST-0091,Enterprise,East,Guwahati,Priya Verma,Laptop Pro 14,Electronics,1,77688.76,0.2,62151.01,Credit Card
ORD-000127,2025-08-12,CUST-0342,Consumer,South,Chennai,Priya Verma,USB-C Hub,Accessories,1,2868.83,0.15,2438.51,UPI
ORD-000128,2025-09-29,CUST-0242,Consumer,South,Bengaluru,Rohan Mehta,27-inch Monitor,Electronics,4,19347.71,0.05,73521.3,Debit Card
ORD-000129,2025-04-12,CUST-0476,SMB,West,Surat,Neha Kapoor,Smartphone X,Electronics,4,40644.01,0.1,146318.44,Debit Card
ORD-000130,2025-03-19,CUST-0361,Consumer,North,Delhi,Vikram Singh,Wireless Mouse,Accessories,2,2150.43,0.0,4300.86,Bank Transfer
ORD-000131,2025-08-20,CUST-0630,Consumer,North,Lucknow,Kavya Nair,Laptop Pro 14,Electronics,5,80841.15,0.0,404205.75,UPI
ORD-000132,2025-08-19,CUST-0064,SMB,South,Kochi,Priya Verma,External HDD 2TB,Storage,3,6184.89,0.0,18554.67,Debit Card
ORD-000133,2025-02-13,CUST-0536,SMB,Central,Indore,Neha Kapoor,27-inch Monitor,Electronics,1,19408.32,0.1,17467.49,Debit Card
ORD-000134,2025-05-25,CUST-0068,Consumer,East,Patna,Priya Verma,Mechanical Keyboard,Accessories,2,4630.15,0.05,8797.28,Bank Transfer
ORD-000135,2025-05-26,CUST-0084,SMB,East,Bhubaneswar,Neha Kapoor,Wireless Headphones,Accessories,3,6742.63,0.15,17193.71,Debit Card
ORD-000136,2025-12-02,CUST-0386,SMB,Central,Nagpur,Rohan Mehta,Standing Desk,Office,1,21086.38,0.1,18977.74,UPI
ORD-000137,2025-11-27,CUST-0350,Consumer,South,Kochi,Sneha Iyer,Office Chair,Office,2,11132.3,0.05,21151.37,Credit Card
ORD-000138,2025-03-12,CUST-0039,Consumer,Central,Nagpur,Rohan Mehta,Smartphone X,Electronics,5,43137.67,0.0,215688.35,Bank Transfer
ORD-000139,2025-03-20,CUST-0045,Consumer,West,Surat,Neha Kapoor,Smartphone X,Electronics,3,43691.16,0.1,117966.13,Credit Card
ORD-000140,2025-08-16,CUST-0829,Consumer,East,Guwahati,Sneha Iyer,USB-C Hub,Accessories,4,2809.52,0.05,10676.18,Debit Card
ORD-000141,2025-12-14,CUST-0429,Enterprise,Central,Indore,Sneha Iyer,USB-C Hub,Accessories,2,2766.92,0.0,5533.84,Credit Card
ORD-000142,2025-05-09,CUST-0872,SMB,Central,Bhopal,Vikram Singh,Laptop Pro 14,Electronics,6,74900.2,0.05,426931.14,UPI
ORD-000143,2025-03-24,CUST-0837,Consumer,South,Kochi,Neha Kapoor,Wireless Headphones,Accessories,2,6234.61,0.15,10598.84,UPI
ORD-000144,2025-08-01,CUST-0029,Consumer,South,Hyderabad,Priya Verma,Laptop Pro 14,Electronics,2,74736.52,0.05,141999.39,Debit Card
ORD-000145,2025-03-16,CUST-0460,Consumer,West,Mumbai,Priya Verma,Smartphone X,Electronics,7,43390.66,0.05,288547.89,UPI
ORD-000146,2025-05-12,CUST-0795,SMB,North,Jaipur,Sneha Iyer,Smartphone Lite,Electronics,3,24066.65,0.1,64979.96,Debit Card
ORD-000147,2025-03-04,CUST-0612,Consumer,West,Mumbai,Sneha Iyer,Laptop Pro 14,Electronics,3,74589.9,0.1,201392.73,Credit Card
ORD-000148,2025-05-30,CUST-0537,Consumer,North,Jaipur,Priya Verma,Mechanical Keyboard,Accessories,2,4359.29,0.05,8282.65,UPI
ORD-000149,2025-07-19,CUST-0366,Consumer,North,Delhi,Neha Kapoor,Portable SSD 1TB,Storage,3,8290.6,0.2,19897.44,Credit Card
ORD-000150,2025-12-03,CUST-0560,Consumer,East,Patna,Rohan Mehta,Office Chair,Office,3,11078.42,0.1,29911.73,Bank Transfer
ORD-000151,2025-12-23,CUST-0038,SMB,West,Ahmedabad,Sneha Iyer,Wireless Mouse,Accessories,5,2260.76,0.0,11303.8,UPI
ORD-000152,2025-04-13,CUST-0485,Consumer,Central,Nagpur,Aarav Sharma,External HDD 2TB,Storage,7,6503.26,0.05,43246.68,Credit Card
ORD-000153,2025-05-27,CUST-0448,Enterprise,East,Guwahati,Kavya Nair,Smart Watch,Accessories,1,11727.86,0.1,10555.07,Bank Transfer
ORD-000154,2025-06-23,CUST-0745,Consumer,North,Lucknow,Priya Verma,Smartphone X,Electronics,2,42080.96,0.2,67329.54,Bank Transfer
ORD-000155,2025-11-05,CUST-0314,Consumer,East,Guwahati,Arjun Rao,Portable SSD 1TB,Storage,1,8353.73,0.0,8353.73,Credit Card
ORD-000156,2025-12-20,CUST-0282,Consumer,West,Mumbai,Priya Verma,Wireless Mouse,Accessories,1,2167.56,0.15,1842.43,Bank Transfer
ORD-000157,2025-07-06,CUST-0695,SMB,Central,Raipur,Aarav Sharma,27-inch Monitor,Electronics,3,17839.14,0.2,42813.94,Credit Card
ORD-000158,2025-02-04,CUST-0158,SMB,Central,Raipur,Neha Kapoor,Smartphone Lite,Electronics,2,24161.39,0.05,45906.64,Debit Card
ORD-000159,2025-08-16,CUST-0256,Consumer,East,Kolkata,Aarav Sharma,Webcam HD,Accessories,1,3827.61,0.05,3636.23,Credit Card
ORD-000160,2025-09-13,CUST-0220,Consumer,West,Ahmedabad,Kavya Nair,27-inch Monitor,Electronics,3,18056.54,0.0,54169.62,Credit Card
ORD-000161,2025-03-04,CUST-0830,Enterprise,North,Jaipur,Neha Kapoor,Smartphone X,Electronics,2,41769.47,0.15,71008.1,UPI
ORD-000162,2025-10-09,CUST-0813,Consumer,South,Hyderabad,Sneha Iyer,27-inch Monitor,Electronics,1,18887.69,0.0,18887.69,UPI
ORD-000163,2025-04-13,CUST-0479,Consumer,East,Bhubaneswar,Priya Verma,Webcam HD,Accessories,4,3921.07,0.0,15684.28,UPI
ORD-000164,2025-06-08,CUST-0076,Enterprise,Central,Indore,Neha Kapoor,Mechanical Keyboard,Accessories,4,4621.12,0.05,17560.26,UPI
ORD-000165,2025-08-19,CUST-0187,SMB,Central,Indore,Arjun Rao,Wireless Mouse,Accessories,2,2261.66,0.15,3844.82,UPI
ORD-000166,2025-03-05,CUST-0532,Consumer,East,Patna,Priya Verma,27-inch Monitor,Electronics,1,18887.26,0.0,18887.26,Debit Card
ORD-000167,2025-04-11,CUST-0515,Enterprise,North,Chandigarh,Rohan Mehta,Office Chair,Office,1,11631.59,0.1,10468.43,Credit Card
ORD-000168,2025-12-04,CUST-0084,SMB,North,Delhi,Vikram Singh,USB-C Hub,Accessories,3,2817.81,0.15,7185.42,Credit Card
ORD-000169,2025-10-20,CUST-0495,SMB,East,Bhubaneswar,Arjun Rao,Mechanical Keyboard,Accessories,1,4520.51,0.15,3842.43,Debit Card
ORD-000170,2025-08-21,CUST-0622,SMB,East,Bhubaneswar,Neha Kapoor,Laptop Air 13,Electronics,1,55800.88,0.05,53010.84,Debit Card
ORD-000171,2025-06-26,CUST-0126,Consumer,West,Ahmedabad,Kavya Nair,Mechanical Keyboard,Accessories,2,4418.6,0.05,8395.34,Credit Card
ORD-000172,2025-03-14,CUST-0834,Consumer,South,Hyderabad,Neha Kapoor,Laptop Air 13,Electronics,8,55541.55,0.15,377682.54,Credit Card
ORD-000173,2025-03-23,CUST-0403,Enterprise,North,Lucknow,Sneha Iyer,Wireless Mouse,Accessories,2,2199.42,0.15,3739.01,Credit Card
ORD-000174,2025-10-26,CUST-0293,Consumer,West,Mumbai,Priya Verma,Smart Watch,Accessories,1,12411.42,0.05,11790.85,Bank Transfer
ORD-000175,2025-03-10,CUST-0584,Consumer,North,Chandigarh,Neha Kapoor,External HDD 2TB,Storage,2,5918.05,0.05,11244.3,Debit Card
ORD-000176,2025-02-07,CUST-0122,Consumer,Central,Indore,Priya Verma,Mechanical Keyboard,Accessories,4,4720.09,0.0,18880.36,Bank Transfer
ORD-000177,2025-07-11,CUST-0522,Enterprise,Central,Raipur,Aarav Sharma,Webcam HD,Accessories,3,3761.26,0.05,10719.59,UPI
ORD-000178,2025-01-20,CUST-0144,SMB,Central,Nagpur,Neha Kapoor,Smartphone X,Electronics,5,40525.55,0.05,192496.36,Credit Card
